City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,emure-ekiti,7.4361,5.4593,24.77,91,100,2.53,NG,1712116632
333,broome,42.2506,-75.833,6.5,93,100,6.17,US,1712116634
334,akureyri,65.6835,-18.0878,-15.04,78,0,3.09,IS,1712116635
335,cambria,35.5641,-121.0808,17.41,93,0,2.68,US,1712116636
336,pangody,65.85,74.4859,-10.39,88,100,12.23,RU,1712116638
337,robore,-18.3333,-59.75,25.06,83,59,2.0,BO,1712116639
338,kirensk,57.7853,108.1119,-2.24,82,95,2.68,RU,1712116640
339,agacoren,38.8748,33.9167,12.8,43,81,2.09,TR,1712116641
340,las khorey,11.1595,48.1967,27.85,80,63,2.45,SO,1712116476
341,gamboma,-1.8764,15.8644,23.27,86,59,0.38,CG,1712116643
342,queenstown,-31.8976,26.8753,12.62,87,88,0.34,ZA,1712116644
343,illela,13.7292,5.2975,27.35,14,88,1.26,NG,1712116645
344,floro,61.5996,5.0328,2.04,60,99,5.14,NO,1712116646
345,acara,-1.9608,-48.1967,23.63,99,100,0.64,BR,1712116647
346,mount pearl,47.5166,-52.7813,0.64,92,75,10.29,CA,1712116567
347,arno,60.1167,18.6333,-1.23,82,100,12.45,SE,1712116649
348,ola,59.5833,151.2833,-0.62,59,0,3.59,RU,1712116650
349,blairgowrie,56.5916,-3.3405,6.08,91,100,4.79,GB,1712116651
350,bougouni,11.417,-7.479,33.71,23,87,2.3,ML,1712116652
351,hotan,37.0997,79.9269,13.86,22,99,6.14,CN,1712116653
352,bairnsdale,-37.8333,147.6167,17.25,78,79,1.79,AU,1712116654
353,ulanhot,46.0833,122.0833,7.67,16,19,7.91,CN,1712116655
354,ha'il,27.5219,41.6907,16.01,63,0,0.0,SA,1712116656
355,la ronge,55.1001,-105.2842,5.14,52,75,3.6,CA,1712116657
356,christchurch,-43.5333,172.6333,21.41,59,73,5.14,NZ,1712116592
357,st. john's,47.5649,-52.7093,1.1,92,75,10.29,CA,1712116659
358,contai,21.7786,87.7536,32.76,51,41,2.55,IN,1712116660
359,yaya,56.206,86.44,0.8,96,100,3.94,RU,1712116661
360,meadow lake,34.8014,-106.5436,11.37,32,3,2.78,US,1712116662
361,tazovsky,67.4667,78.7,-2.49,95,100,8.35,RU,1712116663
362,murzuq,25.9155,13.9184,20.23,22,0,4.11,LY,1712116664
363,rabaul,-4.1967,152.1721,29.03,68,37,1.92,PG,1712116665
364,saint-pierre,-21.3393,55.4781,25.82,65,0,10.29,RE,1712116668
365,camacupa,-12.0167,17.4833,16.58,98,100,0.64,AO,1712116670
